ymd,jyo,racenum,age,joken,track,kyori,baba,tosu,tan,fuk1,fuk2,fuk3,umaren,umatan,3renpuku,3rentan,wide1,wide2,wide3,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,winrate,topodds
20250112,7,3,1,703,23,1200,1,16,2420,450,140,180,2910,8870,3650,37060,1040,1330,380,3,6,2,4,1,8,16,10,15,7,5,11,14,9,12,13,0,0,0.213,6.8,
20250112,7,6,1,703,11,2000,1,18,5890,1510,550,1390,47280,89820,485380,2145400,12600,19770,7310,0,6,14,5,2,17,10,13,1,9,8,3,4,15,7,12,16,11,0.206,2.9,
20250112,7,7,1,5,23,1400,1,16,3600,610,380,130,16640,43210,16230,197450,4430,950,790,4,3,9,1,5,2,13,14,15,12,11,8,16,7,6,10,0,0,0.265,2.6,
20250112,7,8,2,5,23,1200,1,16,330,160,250,250,1370,2250,5070,19810,520,720,1490,1,12,11,2,6,16,9,7,13,4,5,8,3,10,14,15,0,0,0.242,3.3,
20250112,7,9,2,10,23,1900,1,16,140,110,130,560,310,360,2700,5290,170,840,1980,1,2,6,5,10,7,9,12,14,4,8,16,3,11,15,13,0,0,0.293,1.4,
20250112,7,10,2,16,11,1600,1,16,5010,690,120,210,4720,20770,7500,124770,1460,4060,290,2,3,5,13,12,10,6,4,9,8,7,1,14,16,11,15,0,0,0.295,1.7,
20250112,7,11,2,999,11,1200,1,18,180,120,170,380,490,770,2770,7830,270,740,1400,1,2,7,3,13,10,6,9,5,18,17,12,14,4,15,16,11,8,0.242,1.8,
20250112,7,12,2,5,11,1400,1,18,500,180,140,300,560,1480,2830,12940,290,1100,710,2,5,1,3,7,8,15,4,9,10,12,12,18,11,16,14,6,17,0.281,2.5,
20250113,7,12,2,10,11,1200,1,14,2320,580,200,660,4340,11570,39150,196330,1790,7160,1980,11,9,7,12,3,2,4,13,1,5,8,10,6,14,0,0,0,0,0.195,5.5,
20250113,6,1,1,703,24,1200,1,16,110,100,140,170,290,370,540,1410,170,260,540,1,8,2,10,15,13,4,6,5,11,7,3,16,9,14,12,0,0,0.390,1.1,
20250113,6,2,1,703,24,1800,1,16,400,140,720,160,7800,14030,9700,81280,1550,250,2470,9,1,3,5,7,10,4,12,11,14,13,6,2,8,16,15,0,0,0.243,6.3,
